0.15873,0.0744811,0.115995,0.0842491,0.227106,0.275946,0.196581,0.247863,0.164835,0.257631,0.0769231,0.155067,
0.161172,0.0757021,0.115995,0.0854701,0.23199,0.273504,0.197802,0.245421,0.163614,0.260073,0.0757021,0.155067,
0.162393,0.0744811,0.115995,0.0866911,0.227106,0.271062,0.19536,0.242979,0.162393,0.261294,0.0769231,0.156288,
0.163614,0.0744811,0.118437,0.0891331,0.230769,0.279609,0.197802,0.239316,0.161172,0.271062,0.0757021,0.152625,
0.166056,0.0744811,0.120879,0.0879121,0.239316,0.294261,0.205128,0.247863,0.159951,0.278388,0.0757021,0.152625,
0.162393,0.0732601,0.1221,0.0866911,0.239316,0.291819,0.211233,0.267399,0.159951,0.285714,0.0769231,0.150183,
0.163614,0.0757021,0.1221,0.0891331,0.241758,0.288156,0.211233,0.278388,0.161172,0.289377,0.0793651,0.150183,
0.168498,0.0757021,0.120879,0.0903541,0.242979,0.282051,0.208791,0.279609,0.15873,0.284493,0.0793651,0.159951,
0.168498,0.0781441,0.120879,0.0903541,0.242979,0.279609,0.206349,0.299145,0.157509,0.279609,0.0781441,0.162393,
0.17094,0.0744811,0.120879,0.0915751,0.240537,0.279609,0.202686,0.323565,0.156288,0.275946,0.0793651,0.161172,
0.17094,0.0769231,0.120879,0.0952381,0.239316,0.291819,0.201465,0.339438,0.153846,0.273504,0.0805861,0.15873,
0.169719,0.0781441,0.119658,0.0940171,0.240537,0.289377,0.199023,0.338217,0.151404,0.274725,0.0805861,0.15873,
0.169719,0.0769231,0.119658,0.0952381,0.240537,0.284493,0.199023,0.333333,0.148962,0.273504,0.0805861,0.156288,
0.167277,0.0781441,0.119658,0.0915751,0.239316,0.28083,0.197802,0.328449,0.150183,0.274725,0.0805861,0.153846,
0.164835,0.0769231,0.119658,0.0915751,0.238095,0.275946,0.192918,0.322344,0.151404,0.277167,0.0805861,0.153846,
0.166056,0.0769231,0.118437,0.0903541,0.234432,0.273504,0.197802,0.31746,0.151404,0.279609,0.0793651,0.152625,
0.166056,0.0769231,0.118437,0.0891331,0.229548,0.274725,0.202686,0.310134,0.152625,0.282051,0.0805861,0.150183,
0.167277,0.0769231,0.119658,0.0891331,0.225885,0.271062,0.20757,0.308913,0.151404,0.28083,0.0805861,0.150183,
0.168498,0.0769231,0.119658,0.0891331,0.222222,0.267399,0.205128,0.304029,0.151404,0.279609,0.0805861,0.147741,
0.167277,0.0757021,0.119658,0.0879121,0.217338,0.262515,0.205128,0.299145,0.148962,0.277167,0.0805861,0.147741,
0.164835,0.0744811,0.119658,0.0879121,0.217338,0.257631,0.217338,0.291819,0.147741,0.275946,0.0805861,0.14652,
0.162393,0.0757021,0.119658,0.0879121,0.213675,0.252747,0.212454,0.284493,0.148962,0.26862,0.0818071,0.144078,
0.161172,0.0769231,0.119658,0.0879121,0.213675,0.249084,0.223443,0.278388,0.153846,0.266178,0.0793651,0.147741,
0.166056,0.0744811,0.118437,0.0879121,0.210012,0.250305,0.223443,0.274725,0.161172,0.266178,0.0805861,0.151404,
0.167277,0.0769231,0.118437,0.0903541,0.210012,0.245421,0.238095,0.267399,0.164835,0.266178,0.0793651,0.15873,
0.169719,0.0793651,0.117216,0.0927961,0.210012,0.240537,0.262515,0.262515,0.166056,0.261294,0.0793651,0.161172,
0.169719,0.0781441,0.117216,0.0927961,0.211233,0.247863,0.277167,0.257631,0.167277,0.264957,0.0793651,0.161172,
0.167277,0.0793651,0.114774,0.0927961,0.208791,0.250305,0.282051,0.260073,0.164835,0.264957,0.0793651,0.159951,
0.166056,0.0793651,0.115995,0.0927961,0.208791,0.246642,0.297924,0.264957,0.162393,0.262515,0.0793651,0.15873,
0.166056,0.0781441,0.115995,0.0927961,0.206349,0.250305,0.332112,0.274725,0.163614,0.262515,0.0781441,0.157509,
0.169719,0.0781441,0.117216,0.0927961,0.206349,0.25641,0.347985,0.275946,0.17094,0.260073,0.0793651,0.156288,
0.168498,0.0781441,0.117216,0.0940171,0.206349,0.258852,0.346764,0.275946,0.177045,0.257631,0.0793651,0.156288,
0.168498,0.0793651,0.118437,0.0927961,0.201465,0.255189,0.340659,0.283272,0.181929,0.261294,0.0793651,0.155067,
0.17094,0.0781441,0.118437,0.0927961,0.202686,0.250305,0.334554,0.285714,0.184371,0.25641,0.0793651,0.152625,
0.172161,0.0781441,0.118437,0.0952381,0.206349,0.253968,0.330891,0.284493,0.184371,0.257631,0.0793651,0.152625,
0.168498,0.0769231,0.118437,0.0915751,0.206349,0.257631,0.32967,0.279609,0.181929,0.253968,0.0793651,0.150183,
0.166056,0.0769231,0.118437,0.0903541,0.205128,0.253968,0.338217,0.274725,0.180708,0.251526,0.0793651,0.150183,
0.164835,0.0769231,0.117216,0.0903541,0.203907,0.250305,0.34188,0.269841,0.178266,0.247863,0.0793651,0.148962,
0.166056,0.0769231,0.117216,0.0927961,0.205128,0.246642,0.338217,0.266178,0.177045,0.245421,0.0805861,0.148962,
0.168498,0.0769231,0.115995,0.0903541,0.202686,0.242979,0.330891,0.262515,0.178266,0.242979,0.0781441,0.151404,
0.169719,0.0757021,0.115995,0.0927961,0.200244,0.236874,0.322344,0.255189,0.180708,0.238095,0.0781441,0.156288,
0.169719,0.0769231,0.115995,0.0940171,0.199023,0.23199,0.31746,0.249084,0.180708,0.236874,0.0781441,0.15873,
0.168498,0.0769231,0.114774,0.0927961,0.199023,0.227106,0.308913,0.246642,0.186813,0.235653,0.0793651,0.15873,
